absence_id,employee_id,base_code,role,absence_type,start_date,end_date,days_absent,approved
ABS000570,EMP01870,EZE,Tripulante Cabina,Capacitacion,2024-10-19,2024-10-23,4,1
ABS000571,EMP00848,GRU,Ground Staff,Licencia Medica,2022-11-21,2022-11-30,9,1
ABS000572,EMP01759,SCL,Piloto Copiloto,Vacaciones,2023-10-20,2023-11-04,15,1
ABS000573,EMP01749,GRU,Tripulante Cabina,Accidente Laboral,2022-10-22,2022-10-27,5,1
ABS000574,EMP01773,SCL,Tecnico Mantencion,Licencia Medica,2023-01-08,,11,1
ABS000575,EMP01088,SCL,Tecnico Mantencion,Capacitacion,2022-02-12,2022-02-16,4,1
ABS000576,EMP00568,EZE,Piloto Copiloto,Permiso Sin Goce,2024-11-05,2024-11-09,4,1
ABS000577,EMP01741,SCL,Tripulante Cabina,Licencia Medica,2024-03-09,2024-04-04,26,1
ABS000578,EMP01279,GRU,Tripulante Cabina,Vacaciones,2024-12-05,2024-12-25,20,1
ABS000579,EMP00523,LIM,Agente Check-in,Licencia Medica,2023-09-13,2023-09-21,8,
ABS000580,EMP00836,EZE,Ground Staff,Vacaciones,2022-12-09,2022-12-30,21,1
ABS000581,EMP01625,BOG,Piloto Copiloto,Licencia Medica,2022-09-23,2022-10-15,22,1
ABS000582,EMP00680,EZE,Agente Check-in,Licencia Medica,2023-01-02,2023-01-16,14,1
ABS000583,EMP00965,SCL,Supervisor Operaciones,Capacitacion,2023-03-23,2023-03-28,5,1
ABS000584,EMP00571,EZE,Agente Check-in,Vacaciones,2023-07-22,2023-07-31,9,1
ABS000585,EMP01513,EZE,Agente Check-in,Accidente Laboral,2024-09-10,2024-09-18,8,1
ABS000586,EMP00418,LIM,Ground Staff,Accidente Laboral,2023-08-15,2023-08-22,7,1
ABS000587,EMP01650,GRU,Piloto Copiloto,Vacaciones,2022-01-17,2022-01-26,9,1
ABS000588,EMP00741,SCL,Ground Staff,Vacaciones,2024-02-05,2024-02-14,9,1
ABS000589,EMP01922,SCL,Tripulante Cabina,Licencia Medica,2024-04-10,2024-04-14,4,1
ABS000590,EMP01624,MAD,Supervisor Operaciones,Licencia Medica,2022-05-24,2022-06-11,18,1
ABS000591,EMP01281,SCL,Tripulante Cabina Senior,Capacitacion,2022-09-28,2022-10-01,3,0
ABS000592,EMP01250,GRU,Supervisor Operaciones,Accidente Laboral,2024-02-25,2024-02-29,4,0
ABS000593,EMP00514,SCL,Piloto Comandante,Capacitacion,2022-01-02,2022-01-05,3,1
ABS000594,EMP01392,LIM,Supervisor Operaciones,Permiso Sin Goce,2023-08-13,2023-08-15,2,1
ABS000595,EMP01052,SCL,Agente Check-in,Vacaciones,2022-11-26,2022-12-03,7,1
ABS000596,EMP00443,LIM,Ground Staff,Vacaciones,2022-07-23,2022-07-31,8,1
ABS000597,EMP00889,EZE,Tripulante Cabina,Vacaciones,2024-03-08,2024-03-20,12,1
ABS000598,EMP01725,JFK,Agente Check-in,Permiso Sin Goce,2022-02-09,2022-02-19,10,1
ABS000599,EMP01985,MIA,Tecnico Mantencion,Accidente Laboral,2023-06-04,2023-06-14,10,1
ABS000600,EMP00944,EZE,Tripulante Cabina Senior,Vacaciones,2023-04-12,2023-04-21,9,0
ABS000601,EMP01776,GRU,Tripulante Cabina Senior,Vacaciones,2023-10-22,2023-11-05,14,1
ABS000602,EMP01055,BOG,Ground Staff,Vacaciones,2024-08-25,2024-09-03,9,1
ABS000603,EMP01095,SCL,Tripulante Cabina,Licencia Medica,2023-08-26,2023-09-01,6,0
ABS000604,EMP00644,LIM,Tecnico Mantencion,Licencia Medica,2022-03-03,2022-03-05,2,1
ABS000605,EMP00583,GRU,Piloto Comandante,Vacaciones,2022-01-21,2022-02-01,,1
ABS000606,EMP00406,LIM,Ground Staff,Vacaciones,2022-12-13,2022-12-24,11,1
ABS000607,EMP01239,LIM,Tecnico Mantencion,Permiso Sin Goce,2022-11-16,2022-11-23,7,0
ABS000608,EMP00489,GRU,Administrativo,Vacaciones,2023-01-31,2023-02-17,17,1
ABS000609,EMP00915,SCL,Piloto Copiloto,Permiso Sin Goce,2024-04-03,2024-04-06,3,1
ABS000610,EMP01975,GRU,Agente Check-in,Vacaciones,2024-06-17,2024-07-06,19,1
ABS000611,EMP00946,GRU,Supervisor Operaciones,Licencia Medica,2022-03-04,,9,1
ABS000612,EMP00236,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2022-01-02,2022-01-03,1,1
ABS000613,EMP00043,EZE,Ground Staff,Licencia Medica,2023-01-30,2023-02-16,17,1
ABS000614,EMP00121,SCL,Supervisor Operaciones,Vacaciones,2022-06-15,2022-07-02,17,1
ABS000615,EMP01630,GRU,Tripulante Cabina Senior,Permiso Sin Goce,2023-08-31,2023-09-05,5,1
ABS000616,EMP00205,SCL,Tripulante Cabina,Licencia Medica,2023-01-24,2023-01-31,7,1
ABS000617,EMP01923,LIM,Tripulante Cabina Senior,Accidente Laboral,2023-07-04,2023-07-06,2,1
ABS000618,EMP00196,BOG,Piloto Comandante,Capacitacion,2023-11-27,2023-11-29,2,0
ABS000619,EMP01892,SCL,Supervisor Operaciones,Licencia Medica,2022-01-03,2022-01-23,20,1
ABS000620,EMP00297,SCL,Agente Check-in,Vacaciones,2022-08-17,2022-09-05,19,1
ABS000621,EMP01841,LIM,Tripulante Cabina Senior,Licencia Medica,2022-07-30,2022-08-14,15,1
ABS000622,EMP00790,LIM,Agente Check-in,Permiso Sin Goce,2024-11-15,2024-11-25,10,1
ABS000623,EMP00399,MIA,Agente Check-in,Vacaciones,2022-07-31,2022-08-16,16,
ABS000624,EMP00843,SCL,Ground Staff,Licencia Medica,2022-01-05,2022-02-02,28,1
ABS000625,EMP01944,BOG,Ground Staff,Licencia Medica,2024-01-05,2024-01-22,17,1
ABS000626,EMP00218,JFK,Ground Staff,Licencia Medica,2023-10-19,2023-11-07,19,1
ABS000627,EMP01938,MAD,Piloto Copiloto,Permiso Sin Goce,2022-01-18,2022-01-25,7,1
ABS000628,EMP01013,JFK,Piloto Comandante,Licencia Medica,2024-12-24,2025-01-09,16,1
ABS000629,EMP00704,SCL,Agente Check-in,Vacaciones,2023-12-30,2024-01-19,20,1
ABS000630,EMP01249,SCL,Piloto Copiloto,Accidente Laboral,2023-11-04,2023-11-08,4,1
ABS000631,EMP00151,GRU,Tripulante Cabina Senior,Accidente Laboral,2024-07-08,2024-07-17,9,1
ABS000632,EMP01549,BOG,Ground Staff,Vacaciones,2024-03-22,2024-04-01,10,1
ABS000633,EMP00332,GRU,Ground Staff,Permiso Sin Goce,2022-09-05,2022-09-13,8,0
ABS000634,EMP01925,SCL,Tecnico Mantencion,Capacitacion,2024-02-28,2024-03-03,4,1
ABS000635,EMP00451,GRU,Piloto Copiloto,Licencia Medica,2022-01-21,2022-02-10,20,1
ABS000636,EMP01769,GRU,Ground Staff,Permiso Sin Goce,2023-05-07,2023-05-09,2,1
ABS000637,EMP01498,BOG,Tripulante Cabina,Vacaciones,2024-01-17,2024-02-03,17,1
ABS000638,EMP00216,MIA,Tripulante Cabina Senior,Licencia Medica,2024-07-17,2024-08-14,28,1
ABS000639,EMP00446,GRU,Ground Staff,Ausencia Injustificada,2024-03-15,,9,1
ABS000640,EMP01584,BOG,Piloto Comandante,Licencia Medica,2024-02-17,2024-03-16,28,0
ABS000641,EMP01306,SCL,Tripulante Cabina Senior,Licencia Medica,2024-07-24,2024-07-26,2,0
ABS000642,EMP00260,MIA,Tripulante Cabina,Vacaciones,2023-01-05,2023-01-17,12,1
ABS000643,EMP01204,GRU,Supervisor Operaciones,Vacaciones,2024-10-05,2024-10-24,19,0
ABS000644,EMP01868,SCL,Tripulante Cabina,Licencia Medica,2022-07-18,2022-07-27,9,0
ABS000645,EMP00317,GRU,Tripulante Cabina,Capacitacion,2024-07-22,2024-07-24,2,1
ABS000646,EMP00928,GRU,Agente Check-in,Vacaciones,2022-02-01,2022-02-08,7,1
ABS000647,EMP00092,SCL,Administrativo,Vacaciones,2022-07-21,2022-07-31,10,1
ABS000648,EMP00616,LIM,Piloto Copiloto,Permiso Sin Goce,2022-07-26,2022-08-03,8,1
ABS000649,EMP01523,GRU,Tecnico Mantencion,Vacaciones,2024-01-21,2024-02-02,12,1
ABS000650,EMP00462,SCL,Tecnico Mantencion,Licencia Medica,2023-01-04,2023-01-25,21,0
ABS000651,EMP00877,SCL,Agente Check-in,Licencia Medica,2024-09-11,2024-09-30,19,0
ABS000652,EMP01676,LIM,Agente Check-in,Permiso Sin Goce,2024-01-20,2024-01-21,1,1
ABS000653,EMP01667,EZE,Tripulante Cabina Senior,Vacaciones,2024-12-05,2024-12-18,13,1
ABS000654,EMP01000,LIM,Piloto Copiloto,Vacaciones,2024-07-01,2024-07-11,10,1
ABS000655,EMP01832,MAD,Ground Staff,Licencia Medica,2023-06-29,2023-07-01,2,0
ABS000656,EMP00465,MIA,Piloto Comandante,Licencia Medica,2024-11-25,2024-12-21,26,1
ABS000657,EMP01134,MIA,Piloto Copiloto,Licencia Medica,2022-09-29,2022-10-18,19,1
ABS000658,EMP01638,MIA,Tripulante Cabina Senior,Accidente Laboral,2024-01-16,2024-01-19,3,
ABS000659,EMP00046,SCL,Tripulante Cabina,Licencia Medica,2023-07-04,2023-07-07,3,0
ABS000660,EMP01764,MIA,Ground Staff,Licencia Medica,2024-12-26,2025-01-13,18,1
ABS000661,EMP01317,GRU,Agente Check-in,Accidente Laboral,2022-02-02,2022-02-03,1,1
ABS000662,EMP00759,GRU,Supervisor Operaciones,Permiso Sin Goce,2022-07-23,,7,1
ABS000663,EMP00667,MIA,Ground Staff,Licencia Medica,2023-03-10,2023-04-09,30,1
ABS000664,EMP00159,SCL,Supervisor Operaciones,Licencia Medica,2022-03-14,2022-04-11,28,1
ABS000665,EMP01221,SCL,Tripulante Cabina Senior,Vacaciones,2022-07-07,2022-07-25,18,1
ABS000666,EMP00202,GRU,Supervisor Operaciones,Licencia Medica,2024-04-25,2024-05-06,11,1
ABS000667,EMP01925,SCL,Tripulante Cabina,Licencia Medica,2024-05-27,2024-06-10,14,1
ABS000668,EMP00159,SCL,Supervisor Operaciones,Accidente Laboral,2022-06-05,2022-06-13,8,0
ABS000669,EMP01741,LIM,Ground Staff,Permiso Sin Goce,2022-07-28,2022-07-30,2,0
ABS000670,EMP00367,GRU,Tecnico Mantencion,Vacaciones,2022-04-27,2022-05-14,17,1
ABS000671,EMP00236,SCL,Agente Check-in,Permiso Sin Goce,2022-01-09,2022-01-18,9,1
ABS000672,EMP01503,LIM,Tripulante Cabina,Permiso Sin Goce,2024-07-09,2024-07-10,1,1
ABS000673,EMP01017,GRU,Supervisor Operaciones,Vacaciones,2023-01-17,2023-01-28,11,1
ABS000674,EMP00479,BOG,Agente Check-in,Vacaciones,2022-07-03,2022-07-22,19,1
ABS000675,EMP01565,SCL,Ground Staff,Licencia Medica,2022-10-31,2022-11-14,14,1
ABS000676,EMP01583,SCL,Piloto Comandante,Accidente Laboral,2022-05-22,2022-05-28,6,1
ABS000677,EMP01692,MIA,Seguridad,Capacitacion,2024-11-21,2024-11-26,5,1
ABS000678,EMP00413,EZE,Supervisor Operaciones,Permiso Sin Goce,2023-08-14,2023-08-16,2,1
ABS000679,EMP01081,LIM,Tripulante Cabina Senior,Vacaciones,2022-01-14,2022-02-04,21,1
ABS000680,EMP00679,SCL,Tripulante Cabina Senior,Vacaciones,2023-07-17,2023-07-26,9,1
ABS000681,EMP01864,SCL,Tripulante Cabina,Permiso Sin Goce,2022-11-03,2022-11-09,6,1
ABS000682,EMP01730,GRU,Ground Staff,Permiso Sin Goce,2023-07-26,2023-07-28,2,1
ABS000683,EMP01147,SCL,Ground Staff,Capacitacion,2024-01-14,2024-01-15,1,0
ABS000684,EMP00567,LIM,Supervisor Operaciones,Vacaciones,2023-04-04,2023-04-24,20,1
ABS000685,EMP00116,GRU,Agente Check-in,Licencia Medica,2022-03-25,2022-03-26,1,1
ABS000686,EMP01760,EZE,Ground Staff,Licencia Medica,2024-10-30,2024-11-13,14,0
ABS000687,EMP01094,BOG,Ground Staff,Permiso Sin Goce,2024-04-22,2024-04-26,4,0
ABS000688,EMP01870,LIM,Ground Staff,Licencia Medica,2023-02-10,2023-02-16,6,0
ABS000689,EMP00913,LIM,Piloto Comandante,Licencia Medica,2023-12-01,2023-12-06,5,1
ABS000690,EMP01926,GRU,Agente Check-in,Capacitacion,2023-03-23,2023-03-24,1,1
ABS000691,EMP00845,EZE,Administrativo,Licencia Medica,2023-02-25,2023-03-12,15,1
ABS000692,EMP00840,GRU,Ground Staff,Licencia Medica,2024-07-10,2024-07-21,11,1
ABS000693,EMP00415,MIA,Tripulante Cabina,Accidente Laboral,2024-11-07,2024-11-12,5,
ABS000694,EMP01772,LIM,Tripulante Cabina Senior,Vacaciones,2022-03-12,2022-03-25,13,1
ABS000695,EMP00878,GRU,Tripulante Cabina,Permiso Sin Goce,2022-07-15,2022-07-20,5,1
ABS000696,EMP00238,LIM,Tripulante Cabina,Vacaciones,2024-01-11,2024-01-31,20,0
ABS000697,EMP01563,BOG,Supervisor Operaciones,Accidente Laboral,2022-11-13,,7,1
ABS000698,EMP01831,GRU,Ground Staff,Licencia Medica,2023-01-22,2023-01-28,6,1
ABS000699,EMP01440,BOG,Piloto Comandante,Vacaciones,2023-04-09,2023-04-19,10,1
ABS000700,EMP01327,EZE,Tripulante Cabina,Licencia Medica,2023-03-19,2023-03-31,12,1
ABS000701,EMP01033,MAD,Tripulante Cabina Senior,Vacaciones,2022-04-11,2022-04-30,19,1
ABS000702,EMP00276,BOG,Tripulante Cabina,Licencia Medica,2023-07-28,2023-08-20,23,1
ABS000703,EMP00826,LIM,Ground Staff,Accidente Laboral,2023-06-02,2023-06-06,4,1
ABS000704,EMP01396,SCL,Ground Staff,Permiso Sin Goce,2022-03-10,2022-03-16,6,1
ABS000705,EMP00976,SCL,Tripulante Cabina,Vacaciones,2022-04-21,2022-04-29,8,1
ABS000706,EMP01480,GRU,Piloto Copiloto,Vacaciones,2024-10-11,2024-10-23,12,0
ABS000707,EMP00537,MIA,Tripulante Cabina Senior,Vacaciones,2022-07-04,2022-07-12,8,1
ABS000708,EMP01202,LIM,Tripulante Cabina Senior,Capacitacion,2022-01-22,2022-01-26,4,1
ABS000709,EMP01921,SCL,Administrativo,Licencia Medica,2023-05-20,2023-06-07,18,0
ABS000710,EMP00704,SCL,Piloto Comandante,Permiso Sin Goce,2022-12-20,2022-12-22,2,1
ABS000711,EMP00033,LIM,Piloto Copiloto,Licencia Medica,2022-07-28,2022-08-10,13,0
ABS000712,EMP00447,SCL,Tripulante Cabina,Permiso Sin Goce,2022-02-25,2022-02-26,1,0
ABS000713,EMP01486,BOG,Piloto Copiloto,Licencia Medica,2022-10-31,,3,1
ABS000714,EMP00904,LIM,Ground Staff,Permiso Sin Goce,2022-03-02,2022-03-12,10,1
ABS000715,EMP01994,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2023-01-07,2023-01-08,1,
ABS000716,EMP01947,BOG,Tripulante Cabina Senior,Vacaciones,2024-10-16,2024-11-02,17,1
ABS000717,EMP00147,SCL,Tripulante Cabina,Licencia Medica,2023-04-03,2023-04-18,15,1
ABS000718,EMP00558,LIM,Ground Staff,Vacaciones,2024-10-03,2024-10-13,10,1
ABS000719,EMP00821,GRU,Ground Staff,Licencia Medica,2023-04-09,2023-04-13,4,
ABS000720,EMP00210,GRU,Supervisor Operaciones,Capacitacion,2022-12-22,2022-12-24,2,1
ABS000721,EMP00655,LIM,Piloto Copiloto,Licencia Medica,2024-09-18,2024-10-06,18,0
ABS000722,EMP01530,SCL,Tecnico Mantencion,Licencia Medica,2022-02-04,2022-02-14,10,1
ABS000723,EMP01170,SCL,Tecnico Mantencion,Licencia Medica,2022-01-05,2022-01-18,13,
ABS000724,EMP01688,GRU,Administrativo,Capacitacion,2022-03-06,2022-03-08,2,1
ABS000725,EMP00576,JFK,Tripulante Cabina,Permiso Sin Goce,2022-07-13,2022-07-23,10,1
ABS000726,EMP01454,BOG,Piloto Comandante,Vacaciones,2023-07-04,2023-07-16,12,
ABS000727,EMP00825,MIA,Tripulante Cabina,Vacaciones,2022-08-31,2022-09-19,19,1
ABS000728,EMP00125,SCL,Piloto Comandante,Permiso Sin Goce,2024-05-08,2024-05-15,7,1
ABS000729,EMP01311,SCL,Supervisor Operaciones,Capacitacion,2022-12-24,2022-12-26,2,1
ABS000730,EMP00698,BOG,Tripulante Cabina Senior,Capacitacion,2024-02-18,2024-02-19,1,1
ABS000731,EMP00005,SCL,Piloto Copiloto,Licencia Medica,2022-01-01,,26,0
ABS000732,EMP00068,SCL,Supervisor Operaciones,Licencia Medica,2023-10-08,2023-11-01,,1
ABS000733,EMP01477,GRU,Supervisor Operaciones,Capacitacion,2023-07-25,2023-07-28,3,0
ABS000734,EMP01042,GRU,Ground Staff,Permiso Sin Goce,2022-06-09,2022-06-18,9,1
ABS000735,EMP01222,SCL,Tripulante Cabina,Licencia Medica,2022-11-08,2022-11-12,4,1
ABS000736,EMP01293,BOG,Tripulante Cabina Senior,Licencia Medica,2022-08-13,2022-08-19,6,1
ABS000737,EMP01802,SCL,Tripulante Cabina,Permiso Sin Goce,2022-03-16,2022-03-21,5,1
ABS000738,EMP00372,EZE,Tripulante Cabina Senior,Vacaciones,2023-07-17,2023-07-28,11,1
ABS000739,EMP00374,LIM,Tripulante Cabina Senior,Licencia Medica,2022-06-16,2022-07-07,21,1
ABS000740,EMP00283,LIM,Tripulante Cabina,Licencia Medica,2022-05-11,2022-05-12,1,1
ABS000741,EMP01894,SCL,Piloto Comandante,Vacaciones,2022-07-14,2022-07-31,17,1
ABS000742,EMP00218,LIM,Agente Check-in,Licencia Medica,2022-01-02,2022-01-20,18,1
ABS000743,EMP00482,BOG,Agente Check-in,Permiso Sin Goce,2023-02-24,2023-03-06,10,1
ABS000744,EMP01685,LIM,Seguridad,Permiso Sin Goce,2023-01-08,2023-01-11,3,1
ABS000745,EMP00390,lima,Tripulante Cabina Senior,Licencia Medica,2022-01-27,2022-02-05,9,1
ABS000746,EMP01054,LIM,Ground Staff,Licencia Medica,2023-05-15,2023-06-13,29,1
ABS000747,EMP00486,SCL,Tripulante Cabina,Vacaciones,2023-06-17,2023-07-01,14,1
ABS000748,EMP01854,GRU,Agente Check-in,Vacaciones,2022-03-03,,11,1
ABS000749,EMP00362,SCL,Tripulante Cabina,Permiso Sin Goce,2022-09-16,2022-09-18,,0
ABS000750,EMP00066,GRU,Piloto Copiloto,Capacitacion,2023-04-25,2023-04-29,4,
ABS000751,EMP01436,GRU,Agente Check-in,Permiso Sin Goce,2024-01-29,2024-02-06,8,1
ABS000752,EMP01437,EZE,Piloto Comandante,Permiso Sin Goce,2022-11-15,2022-11-23,8,1
ABS000753,EMP01368,SCL,Tripulante Cabina Senior,Licencia Medica,2022-05-23,2022-06-16,24,1
ABS000754,EMP00632,GRU,Piloto Comandante,Licencia Medica,2023-03-10,2023-03-14,4,1
ABS000755,EMP00936,BOG,Piloto Copiloto,Licencia Medica,2022-02-26,2022-03-19,21,0
ABS000756,EMP01036,SCL,Agente Check-in,Vacaciones,2023-07-10,2023-07-23,13,1
ABS000757,EMP01791,SCL,Piloto Copiloto,Permiso Sin Goce,2023-06-16,2023-06-19,3,1
ABS000758,EMP01946,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2022-03-05,2022-03-15,10,1
ABS000759,EMP01080,EZE,Ground Staff,Capacitacion,2023-09-08,2023-09-10,2,1
ABS000760,EMP01199,GRU,Agente Check-in,Licencia Medica,2024-02-11,2024-02-24,13,1
ABS000761,EMP00740,GRU,Agente Check-in,Vacaciones,2024-01-29,2024-02-14,16,1
ABS000762,EMP01330,MIA,Tripulante Cabina,Accidente Laboral,2024-07-12,2024-07-18,6,1
ABS000763,EMP01868,GRU,Ground Staff,Vacaciones,2022-03-10,2022-03-29,19,1
ABS000764,EMP01466,MIA,Tripulante Cabina,Permiso Sin Goce,2024-03-02,2024-03-10,8,1
ABS000765,EMP00067,LIM,Piloto Comandante,Vacaciones,2023-02-17,2023-02-28,11,1
ABS000766,EMP01184,MIA,Tripulante Cabina,Permiso Sin Goce,2022-11-14,2022-11-24,10,
ABS000767,EMP00897,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2022-09-19,2022-09-22,,1
ABS000768,EMP00746,MAD,Agente Check-in,Vacaciones,2024-12-28,2025-01-07,10,1
ABS000769,EMP01522,GRU,Tripulante Cabina,Permiso Sin Goce,2023-11-01,2023-11-10,9,1
ABS000770,EMP01108,SCL,Supervisor Operaciones,Capacitacion,2022-05-27,2022-05-28,1,
ABS000771,EMP00207,SCL,Tripulante Cabina Senior,Vacaciones,2022-01-23,2022-02-05,13,1
ABS000772,EMP00080,SCL,Tripulante Cabina,Ausencia Injustificada,2022-08-08,2022-08-14,6,1
ABS000773,EMP00897,GRU,Tripulante Cabina,Ausencia Injustificada,2024-07-07,2024-07-09,2,1
ABS000774,EMP00249,MIA,Tripulante Cabina,Licencia Medica,2023-06-30,2023-07-26,26,0
ABS000775,EMP01056,SCL,Tripulante Cabina Senior,Capacitacion,2023-10-31,2023-11-02,2,1
ABS000776,EMP00127,GRU,Supervisor Operaciones,Vacaciones,2023-12-20,2023-12-28,8,1
ABS000777,EMP01934,SCL,Agente Check-in,Accidente Laboral,2024-08-27,2024-08-31,4,1
ABS000778,EMP01195,GRU,Agente Check-in,Ausencia Injustificada,2023-01-12,2023-01-19,7,
ABS000779,EMP00524,MAD,Piloto Copiloto,Vacaciones,2023-01-29,2023-02-18,20,1
ABS000780,EMP01428,MIA,Administrativo,Licencia Medica,2024-07-24,2024-08-09,16,1
ABS000781,EMP01855,SCL,Piloto Comandante,Licencia Medica,2022-09-28,2022-10-10,12,1
ABS000782,EMP00415,LIM,Tripulante Cabina Senior,Licencia Medica,2023-01-14,2023-02-05,22,1
ABS000783,EMP00197,SCL,Piloto Copiloto,Licencia Medica,2023-07-12,2023-07-31,19,1
ABS000784,EMP00921,SCL,Tecnico Mantencion,Licencia Medica,2023-08-04,2023-08-06,2,1
ABS000785,EMP01102,SCL,Piloto Comandante,Capacitacion,2023-10-25,2023-10-29,4,1
ABS000786,EMP00087,SCL,Tripulante Cabina,Vacaciones,2022-01-27,2022-02-15,19,1
ABS000787,EMP00875,BOG,Ground Staff,Vacaciones,2022-01-16,2022-01-23,7,0
ABS000788,EMP00758,GRU,Administrativo,Licencia Medica,2022-09-21,2022-10-10,19,1
ABS000789,EMP01266,SCL,Agente Check-in,Licencia Medica,2023-08-04,2023-08-17,13,1
ABS000790,EMP01487,EZE,Piloto Comandante,Permiso Sin Goce,2023-01-30,2023-01-31,1,1
ABS000791,EMP00906,GRU,Tripulante Cabina,Capacitacion,2022-06-06,2022-06-08,2,1
ABS000792,EMP00229,LIM,Tripulante Cabina Senior,Licencia Medica,2024-07-04,,6,1
ABS000793,EMP00370,SCL,Seguridad,Permiso Sin Goce,2024-07-10,2024-07-12,2,1
ABS000794,EMP01304,EZE,Piloto Copiloto,Capacitacion,2023-05-09,2023-05-12,3,1
ABS000795,EMP00231,BOG,Agente Check-in,Capacitacion,2024-04-07,2024-04-10,3,0
ABS000796,EMP00162,BOG,Piloto Comandante,Permiso Sin Goce,2022-07-28,2022-07-31,3,1
ABS000797,EMP00126,BOG,Piloto Comandante,Licencia Medica,2023-01-18,2023-02-11,24,1
ABS000798,EMP00626,GRU,Ground Staff,Accidente Laboral,2024-02-15,2024-02-20,5,1
ABS000799,EMP00096,LIM,Piloto Comandante,Vacaciones,2023-05-29,2023-06-11,13,1
ABS000800,EMP00444,SCL,Piloto Copiloto,Capacitacion,2024-01-02,2024-01-03,1,1
ABS000801,EMP00061,SCL,Administrativo,Vacaciones,2023-01-06,2023-01-27,21,
ABS000802,EMP01431,EZE,Tripulante Cabina Senior,Capacitacion,2024-06-09,2024-06-14,5,1
ABS000803,EMP00392,LIM,Administrativo,Capacitacion,2022-03-17,2022-03-20,3,1
ABS000804,EMP00022,MIA,Tripulante Cabina,Licencia Medica,2024-08-04,2024-08-09,,1
ABS000805,EMP01804,LIM,Tripulante Cabina,Licencia Medica,2023-07-24,2023-07-27,3,1
ABS000806,EMP01788,SCL,Tripulante Cabina,Vacaciones,2023-10-25,2023-11-06,12,0
ABS000807,EMP00239,SCL,Tripulante Cabina,Permiso Sin Goce,2022-06-03,2022-06-13,10,1
ABS000808,EMP00452,MAD,Tripulante Cabina Senior,Licencia Medica,2024-11-04,2024-11-19,15,1
ABS000809,EMP00363,LIM,Administrativo,Vacaciones,2023-05-27,2023-06-17,21,1
ABS000810,EMP01331,GRU,Supervisor Operaciones,Licencia Medica,2023-09-13,2023-10-09,,1
ABS000811,EMP00265,SCL,Agente Check-in,Permiso Sin Goce,2022-07-24,2022-08-02,9,0
ABS000812,EMP01132,MAD,Tripulante Cabina Senior,Vacaciones,2022-03-23,,18,1
ABS000813,EMP01743,MIA,Tripulante Cabina Senior,Permiso Sin Goce,2022-06-12,2022-06-13,1,
ABS000814,EMP01528,LIM,Tecnico Mantencion,Licencia Medica,2022-07-09,2022-07-28,19,1
ABS000815,EMP01067,SCL,Agente Check-in,Vacaciones,2023-10-08,2023-10-15,7,1
ABS000816,EMP01160,SCL,Tripulante Cabina,Permiso Sin Goce,2023-09-21,2023-09-30,9,0
ABS000817,EMP00860,SCL,Tripulante Cabina,Licencia Medica,2022-07-06,2022-07-15,9,0
ABS000818,EMP01265,MIA,Ground Staff,Permiso Sin Goce,2024-12-11,2024-12-20,9,1
ABS000819,EMP01865,MAD,Tripulante Cabina Senior,Permiso Sin Goce,2022-12-14,2022-12-17,3,1
ABS000820,EMP01732,SCL,Ground Staff,Permiso Sin Goce,2023-01-14,2023-01-23,9,1
ABS000821,EMP00045,SCL,Piloto Comandante,Vacaciones,2023-01-27,2023-02-11,15,1
ABS000822,EMP00256,GRU,Piloto Comandante,Licencia Medica,2022-07-03,2022-07-05,2,1
ABS000823,EMP00251,GRU,Tripulante Cabina Senior,Vacaciones,2024-02-24,2024-03-11,16,1
ABS000824,EMP01535,GRU,Tripulante Cabina,Ausencia Injustificada,2022-06-26,2022-07-06,10,1
ABS000825,EMP00846,SCL,Tripulante Cabina,Vacaciones,2023-01-03,2023-01-12,9,1
ABS000826,EMP01106,MIA,Tripulante Cabina,Capacitacion,2023-04-18,2023-04-19,1,1
ABS000827,EMP00589,LIM,Tripulante Cabina,Licencia Medica,2023-10-09,2023-10-15,6,1
ABS000828,EMP00133,BOG,Supervisor Operaciones,Vacaciones,2024-01-25,2024-02-11,17,1
ABS000829,EMP00347,GRU,Tripulante Cabina Senior,Vacaciones,2024-07-12,2024-07-24,12,1
ABS000830,EMP00175,GRU,Tripulante Cabina,Vacaciones,2024-07-29,2024-08-12,14,1
ABS000831,EMP00970,MAD,Tripulante Cabina,Licencia Medica,2022-07-29,2022-08-22,24,1
ABS000832,EMP00486,GRU,Supervisor Operaciones,Licencia Medica,2023-09-21,,27,1
ABS000833,EMP00831,GRU,Agente Check-in,Vacaciones,2023-01-14,2023-02-01,18,1
ABS000834,EMP00510,GRU,Tripulante Cabina Senior,Licencia Medica,2024-02-01,2024-02-13,12,
ABS000835,EMP00602,GRU,Ground Staff,Permiso Sin Goce,2022-07-08,2022-07-12,4,1
ABS000836,EMP00775,MIA,Piloto Copiloto,Capacitacion,2024-03-27,2024-03-30,3,1
ABS000837,EMP01207,BOG,Ground Staff,Capacitacion,2022-07-13,2022-07-16,3,1
ABS000838,EMP00535,GRU,Tripulante Cabina,Vacaciones,2024-08-10,2024-08-19,9,1
ABS000839,EMP01435,SCL,Agente Check-in,Accidente Laboral,2024-11-28,2024-12-07,9,1
