attrition_id,employee_id,base_code,role,category,exit_date,reason,seniority_years,contract_type,was_replaced
ATT000244,EMP01419,LIM,Administrativo,Admin,2023-09-01,Traslado Base,11,Part-time,1
ATT000245,EMP01909,EZE,Seguridad,Tierra,2023-03-09,Renuncia Voluntaria,10,Indefinido,1
ATT000246,EMP01942,EZE,Tecnico Mantencion,Tierra,2022-02-18,Renuncia Voluntaria,1,Indefinido,1
ATT000247,EMP01220,BOG,Supervisor Operaciones,Tierra,2024-07-31,Jubilacion,1,Indefinido,1
ATT000248,EMP00373,GRU,Agente Check-in,Tierra,2024-01-24,Termino Contrato,0,Indefinido,1
ATT000249,EMP00826,EZE,Tripulante Cabina,Cabina,2024-07-02,Termino Contrato,7,Indefinido,1
ATT000250,EMP00520,GRU,Administrativo,Admin,2024-09-09,Renuncia Voluntaria,,Plazo Fijo,0
ATT000251,EMP00150,LIM,Tripulante Cabina Senior,Cabina,2023-07-10,Renuncia Voluntaria,12,Honorarios,0
ATT000252,EMP00385,SCL,Tripulante Cabina,Cabina,2022-04-18,Renuncia Voluntaria,15,Indefinido,1
ATT000253,EMP01117,GRU,Administrativo,Admin,2024-07-13,Renuncia Voluntaria,9,Plazo Fijo,1
ATT000254,EMP01568,SCL,Tripulante Cabina Senior,Cabina,2023-07-31,Renuncia Voluntaria,6,Indefinido,0
ATT000255,EMP00885,EZE,Piloto Copiloto,Cockpit,2024-01-02,Termino Contrato,,Plazo Fijo,0
ATT000256,EMP01590,MIA,Ground Staff,Tierra,2023-09-12,Renuncia Voluntaria,8,Honorarios,1
ATT000257,EMP00933,SCL,Piloto Comandante,Cockpit,2024-10-24,Despido,11,Part-time,
ATT000258,EMP00916,MIA,Piloto Copiloto,Cockpit,2023-07-26,Renuncia Voluntaria,14,Part-time,1
ATT000259,EMP01216,SCL,Tripulante Cabina Senior,Cabina,2023-11-08,Renuncia Voluntaria,3,Indefinido,0
ATT000260,EMP00943,MAD,Piloto Comandante,Cockpit,2023-10-18,Renuncia Voluntaria,3,Indefinido,0
ATT000261,EMP01282,BOG,Agente Check-in,Tierra,2023-02-13,Renuncia Voluntaria,1,Indefinido,0
ATT000262,EMP00503,SCL,Tripulante Cabina,Cabina,2022-04-28,Traslado Base,1,Indefinido,1
ATT000263,EMP00202,BOG,Administrativo,Admin,2024-12-07,Termino Contrato,11,Plazo Fijo,0
ATT000264,EMP01837,LIM,Ground Staff,Tierra,2022-10-25,Termino Contrato,12,Indefinido,1
ATT000265,EMP01297,MIA,Ground Staff,Tierra,2023-09-10,Traslado Base,4,Part-time,1
ATT000266,EMP00761,LIM,Piloto Copiloto,Cockpit,2024-07-25,Despido,3,Plazo Fijo,1
ATT000267,EMP00213,GRU,Tripulante Cabina Senior,Cabina,2023-08-04,Jubilacion,10,Indefinido,0
ATT000268,EMP00962,SCL,Piloto Copiloto,Cockpit,2022-01-12,Despido,13,Indefinido,1
ATT000269,EMP00002,MAD,Tripulante Cabina Senior,Cabina,2023-08-22,Despido,9,Indefinido,1
ATT000270,EMP01446,GRU,Agente Check-in,Tierra,2023-07-29,Renuncia Voluntaria,9,Plazo Fijo,1
ATT000271,EMP01964,GRU,Tripulante Cabina Senior,Cabina,2024-05-18,Termino Contrato,,Indefinido,1
ATT000272,EMP01613,GRU,Tripulante Cabina,Cabina,2024-03-23,Termino Contrato,5,Indefinido,1
ATT000273,EMP01551,GRU,Agente Check-in,Tierra,2024-01-21,Renuncia Voluntaria,6,Indefinido,0
ATT000274,EMP00031,SCL,Administrativo,Admin,2024-04-28,Renuncia Voluntaria,1,Part-time,1
ATT000275,EMP01422,SCL,Tripulante Cabina,Cabina,2024-01-01,Renuncia Voluntaria,3,Indefinido,0
ATT000276,EMP01240,GRU,Piloto Comandante,Cockpit,2024-09-25,Renuncia Voluntaria,13,Honorarios,1
ATT000277,EMP01402,SCL,Piloto Comandante,Cockpit,2023-07-02,Renuncia Voluntaria,8,Indefinido,1
ATT000278,EMP01480,EZE,Tripulante Cabina Senior,Cabina,2024-05-12,Renuncia Voluntaria,14,Indefinido,1
ATT000279,EMP01812,EZE,Piloto Copiloto,Cockpit,2024-03-27,Renuncia Voluntaria,15,Plazo Fijo,1
ATT000280,EMP01116,BOG,Ground Staff,Tierra,2022-01-17,Renuncia Voluntaria,7,Indefinido,1
ATT000281,EMP01148,GRU,Tripulante Cabina Senior,Cabina,2023-05-27,Traslado Base,8,Plazo Fijo,0
ATT000282,EMP01646,BOG,Piloto Copiloto,Cockpit,2022-06-18,Termino Contrato,7,Part-time,1
ATT000283,EMP00041,BOG,Ground Staff,Tierra,2024-03-27,Despido,12,Honorarios,0
ATT000284,EMP01855,BOG,Piloto Copiloto,Cockpit,2024-01-17,Renuncia Voluntaria,4,Indefinido,0
ATT000285,EMP01891,MIA,Piloto Comandante,Cockpit,2022-06-13,Traslado Base,13,Indefinido,0
ATT000286,EMP01889,GRU,Tripulante Cabina,Cabina,2024-01-29,Termino Contrato,6,Indefinido,0
ATT000287,EMP00745,GRU,Tripulante Cabina Senior,Cabina,2023-12-03,Jubilacion,14,Indefinido,1
ATT000288,EMP00332,GRU,Agente Check-in,Tierra,2022-07-15,Renuncia Voluntaria,10,Indefinido,0
ATT000289,EMP00676,GRU,Supervisor Operaciones,Tierra,2022-01-25,Renuncia Voluntaria,14,Plazo Fijo,1
ATT000290,EMP00538,MAD,Tripulante Cabina,Cabina,2022-07-26,Jubilacion,8,Indefinido,0
ATT000291,EMP00590,SCL,Tripulante Cabina,Cabina,2024-09-04,Renuncia Voluntaria,2,Indefinido,0
ATT000292,EMP00222,GRU,Tripulante Cabina,Cabina,2024-10-07,Renuncia Voluntaria,,Indefinido,1
ATT000293,EMP00387,Santiago,Supervisor Operaciones,Tierra,2024-03-30,Despido,13,Indefinido,1
ATT000294,EMP00966,LIM,Ground Staff,Tierra,2024-01-29,Renuncia Voluntaria,0,Indefinido,
ATT000295,EMP01559,BOG,Tecnico Mantencion,Tierra,2022-07-28,Despido,13,Indefinido,0
ATT000296,EMP00868,MIA,Tripulante Cabina Senior,Cabina,2022-05-13,Despido,0,Indefinido,0
ATT000297,EMP00735,SCL,Tripulante Cabina,Cabina,2022-12-02,Renuncia Voluntaria,7,Indefinido,0
ATT000298,EMP01979,LIM,Supervisor Operaciones,Tierra,2023-07-20,Despido,14,Plazo Fijo,1
ATT000299,EMP00036,BOG,Tripulante Cabina,Cabina,2022-07-26,Traslado Base,12,Indefinido,1
ATT000300,EMP00266,SCL,Administrativo,Admin,2023-05-15,Renuncia Voluntaria,14,Indefinido,1
ATT000301,EMP00491,LIM,Piloto Copiloto,Cockpit,2024-01-13,Termino Contrato,6,Indefinido,1
ATT000302,EMP01731,GRU,Piloto Comandante,Cockpit,2023-10-20,Termino Contrato,9,Indefinido,1
ATT000303,EMP01105,BOG,Ground Staff,Tierra,2024-02-23,Traslado Base,13,Indefinido,1
ATT000304,EMP01095,GRU,Tripulante Cabina,Cabina,2022-01-03,Jubilacion,0,Indefinido,0
ATT000305,EMP01280,SCL,Tripulante Cabina Senior,Cabina,2023-01-24,Despido,15,Indefinido,0
ATT000306,EMP01373,SCL,Ground Staff,Tierra,2023-06-16,Despido,8,Indefinido,1
ATT000307,EMP00165,BOG,Tripulante Cabina,Cabina,2023-12-26,Traslado Base,12,Plazo Fijo,1
ATT000308,EMP00365,MIA,Tripulante Cabina,Cabina,2024-03-23,Traslado Base,13,Plazo Fijo,1
ATT000309,EMP00819,BOG,Supervisor Operaciones,Tierra,2024-07-19,Renuncia Voluntaria,14,Indefinido,0
ATT000310,EMP00054,GRU,Seguridad,Tierra,2024-02-02,Renuncia Voluntaria,11,Indefinido,1
ATT000311,EMP00295,GRU,Tripulante Cabina Senior,Cabina,2023-01-25,Renuncia Voluntaria,11,Indefinido,0
ATT000312,EMP00470,BOG,Tripulante Cabina,Cabina,2024-11-13,Renuncia Voluntaria,14,Indefinido,1
ATT000313,EMP01069,GRU,Supervisor Operaciones,Tierra,2023-12-08,Renuncia Voluntaria,5,Indefinido,1
ATT000314,EMP01630,Santiago,Ground Staff,Tierra,2024-07-02,Jubilacion,,Indefinido,0
ATT000315,EMP00344,EZE,Tripulante Cabina,Cabina,2024-12-27,Renuncia Voluntaria,13,Part-time,1
ATT000316,EMP00643,GRU,Agente Check-in,Tierra,2024-08-22,Despido,2,Indefinido,1
ATT000317,EMP01017,LIM,Administrativo,Admin,2024-03-23,Jubilacion,15,Indefinido,
ATT000318,EMP01322,GRU,Administrativo,Admin,2024-10-03,Renuncia Voluntaria,3,Plazo Fijo,1
ATT000319,EMP00481,GRU,Ground Staff,Tierra,2022-07-09,Renuncia Voluntaria,10,Indefinido,1
ATT000320,EMP00394,SCL,Tripulante Cabina,Cabina,2024-07-28,Termino Contrato,5,Plazo Fijo,1
ATT000321,EMP01063,SCL,Piloto Comandante,Cockpit,2022-11-13,Renuncia Voluntaria,5,Plazo Fijo,1
ATT000322,EMP00532,GRU,Administrativo,Admin,2024-01-10,Jubilacion,1,Indefinido,1
ATT000323,EMP00740,LIM,Tripulante Cabina Senior,Cabina,2023-04-16,Renuncia Voluntaria,2,Honorarios,1
ATT000324,EMP00185,SCL,Tripulante Cabina,Cabina,2022-07-30,Termino Contrato,15,Indefinido,1
ATT000325,EMP00462,SCL,Ground Staff,Tierra,2024-07-01,Renuncia Voluntaria,13,Plazo Fijo,
ATT000326,EMP01120,SCL,Tripulante Cabina Senior,Cabina,2023-10-05,Termino Contrato,10,Plazo Fijo,1
ATT000327,EMP01115,SCL,Tripulante Cabina Senior,Cabina,2024-05-23,Termino Contrato,14,Honorarios,1
ATT000328,EMP01181,SCL,Tecnico Mantencion,Tierra,2022-03-09,Despido,10,Indefinido,1
ATT000329,EMP01526,BOG,Tripulante Cabina Senior,Cabina,2022-03-16,Termino Contrato,5,Indefinido,1
ATT000330,EMP00371,MIA,Agente Check-in,Tierra,2024-01-15,Termino Contrato,8,Indefinido,1
ATT000331,EMP01407,EZE,Tripulante Cabina,Cabina,2022-02-24,Jubilacion,11,Part-time,1
ATT000332,EMP00814,SCL,Agente Check-in,Tierra,2024-07-14,Renuncia Voluntaria,10,Indefinido,1
ATT000333,EMP00269,BOG,Agente Check-in,Tierra,2022-08-12,Renuncia Voluntaria,3,Indefinido,1
ATT000334,EMP00024,MAD,Administrativo,Admin,2023-04-04,Despido,8,Part-time,1
ATT000335,EMP01415,BOG,Tripulante Cabina Senior,Cabina,2022-07-20,Termino Contrato,9,Plazo Fijo,1
ATT000336,EMP00339,LIM,Agente Check-in,Tierra,2024-03-20,Renuncia Voluntaria,1,Indefinido,1
ATT000337,EMP01345,BOG,Administrativo,Admin,2022-01-03,Renuncia Voluntaria,8,Honorarios,1
ATT000338,EMP00425,LIM,Supervisor Operaciones,Tierra,2024-02-20,Traslado Base,13,Indefinido,0
ATT000339,EMP01368,LIM,Tripulante Cabina Senior,Cabina,2024-02-09,Jubilacion,13,Part-time,1
ATT000340,EMP00071,SCL,Tripulante Cabina Senior,Cabina,2023-01-06,Traslado Base,9,Plazo Fijo,1
ATT000341,EMP00369,SCL,Tripulante Cabina,Cabina,2022-01-26,Despido,5,Part-time,1
ATT000342,EMP00350,lima,Ground Staff,Tierra,2024-01-09,Termino Contrato,8,Indefinido,0
ATT000343,EMP00305,SCL,Administrativo,Admin,2023-07-08,Despido,7,Plazo Fijo,0
ATT000344,EMP01617,SCL,Supervisor Operaciones,Tierra,2022-02-07,Termino Contrato,14,Indefinido,1
ATT000345,EMP00387,SCL,Ground Staff,Tierra,2024-12-19,Renuncia Voluntaria,7,Indefinido,1
ATT000346,EMP01660,EZE,Agente Check-in,Tierra,2024-10-07,Termino Contrato,13,Indefinido,1
ATT000347,EMP00024,LIM,Tripulante Cabina Senior,Cabina,2022-07-01,Renuncia Voluntaria,4,Honorarios,1
ATT000348,EMP01074,LIM,Ground Staff,Tierra,2023-10-23,Renuncia Voluntaria,1,Plazo Fijo,1
ATT000349,EMP00592,GRU,Tripulante Cabina,Cabina,2024-01-29,Renuncia Voluntaria,11,Honorarios,1
ATT000350,EMP01051,GRU,Administrativo,Admin,2024-04-25,Renuncia Voluntaria,11,Part-time,1
ATT000351,EMP01948,LIM,Tripulante Cabina Senior,Cabina,2024-06-27,Jubilacion,11,Indefinido,1
ATT000352,EMP00396,GRU,Tripulante Cabina Senior,Cabina,2024-05-20,Jubilacion,5,Indefinido,1
ATT000353,EMP01247,SCL,Tecnico Mantencion,Tierra,2024-10-18,Despido,0,Indefinido,0
ATT000354,EMP00262,SCL,Piloto Comandante,Cockpit,2023-03-07,Despido,,Indefinido,1
ATT000355,EMP01991,LIM,Piloto Comandante,Cockpit,2023-05-30,Renuncia Voluntaria,12,Indefinido,1
ATT000356,EMP00970,GRU,Tripulante Cabina Senior,Cabina,2022-02-09,Renuncia Voluntaria,4,Indefinido,1
ATT000357,EMP00708,SCL,Tripulante Cabina,Cabina,2022-09-12,Termino Contrato,10,Plazo Fijo,0
ATT000358,EMP00763,EZE,Seguridad,Tierra,2024-06-18,Renuncia Voluntaria,0,Plazo Fijo,
ATT000359,EMP00953,SCL,Tripulante Cabina,Cabina,2022-06-21,Traslado Base,3,Indefinido,1
ATT000360,EMP00248,MIA,Tripulante Cabina,Cabina,2022-06-29,Renuncia Voluntaria,14,Indefinido,1
ATT000361,EMP01708,LIM,Tripulante Cabina,Cabina,2022-07-05,Despido,0,Plazo Fijo,1
ATT000362,EMP00736,GRU,Ground Staff,Tierra,2022-07-30,Renuncia Voluntaria,9,Part-time,1
ATT000363,EMP01486,LIM,Tripulante Cabina,Cabina,2024-07-24,Termino Contrato,10,Indefinido,1
ATT000364,EMP01395,MIA,Supervisor Operaciones,Tierra,2023-10-09,Termino Contrato,1,Indefinido,1
ATT000365,EMP01263,MAD,Tripulante Cabina Senior,Cabina,2023-01-26,Jubilacion,12,Indefinido,
ATT000366,EMP01960,JFK,Administrativo,Admin,2022-04-19,Termino Contrato,2,Indefinido,1
ATT000367,EMP00476,MIA,Piloto Copiloto,Cockpit,2024-02-17,Jubilacion,6,Indefinido,0
ATT000368,EMP00959,SCL,Tripulante Cabina,Cabina,2022-04-15,Jubilacion,8,Plazo Fijo,0
ATT000369,EMP00386,MAD,Administrativo,Admin,2023-11-28,Despido,11,Indefinido,0
ATT000370,EMP00617,SCL,Tripulante Cabina Senior,Cabina,2023-06-26,Traslado Base,6,Indefinido,1
ATT000371,EMP00728,EZE,Piloto Copiloto,Cockpit,2023-01-14,Renuncia Voluntaria,15,Part-time,1
ATT000372,EMP01122,GRU,Administrativo,Admin,2024-03-11,Renuncia Voluntaria,6,Indefinido,1
ATT000373,EMP00772,GRU,Supervisor Operaciones,Tierra,2024-07-24,Renuncia Voluntaria,4,Honorarios,1
ATT000374,EMP00517,LIM,Tripulante Cabina,Cabina,2023-07-12,Despido,12,Plazo Fijo,1
ATT000375,EMP00211,SCL,Tripulante Cabina,Cabina,2022-08-24,Despido,14,Indefinido,1
ATT000376,EMP01289,SCL,Supervisor Operaciones,Tierra,2024-07-24,Termino Contrato,13,Plazo Fijo,1
ATT000377,EMP00008,MAD,Supervisor Operaciones,Tierra,2023-05-20,Renuncia Voluntaria,6,Indefinido,1
ATT000378,EMP00334,SCL,Agente Check-in,Tierra,2022-05-06,Termino Contrato,7,Plazo Fijo,0
ATT000379,EMP01739,JFK,Ground Staff,Tierra,2023-04-25,Jubilacion,13,Part-time,1
ATT000380,EMP00813,MIA,Piloto Comandante,Cockpit,2023-05-26,Renuncia Voluntaria,13,Indefinido,1
ATT000381,EMP00064,EZE,Supervisor Operaciones,Tierra,2024-03-16,Renuncia Voluntaria,,Indefinido,1
ATT000382,EMP00931,BOG,Ground Staff,Tierra,2022-06-06,Renuncia Voluntaria,5,Indefinido,1
ATT000383,EMP00285,SCL,Ground Staff,Tierra,2022-07-18,Termino Contrato,8,Indefinido,0
ATT000384,EMP01930,GRU,Tripulante Cabina Senior,Cabina,2024-07-10,Jubilacion,13,Plazo Fijo,0
ATT000385,EMP00997,GRU,Ground Staff,Tierra,2023-06-24,Renuncia Voluntaria,5,Indefinido,0
ATT000386,EMP01178,BOG,Tripulante Cabina,Cabina,2024-11-23,Termino Contrato,3,Indefinido,1
ATT000387,EMP01733,MAD,Tripulante Cabina,Cabina,2023-07-07,Termino Contrato,15,Indefinido,1
ATT000388,EMP00386,GRU,Tripulante Cabina Senior,Cabina,2023-01-31,Termino Contrato,7,Indefinido,0
ATT000389,EMP01257,JFK,Tripulante Cabina,Cabina,2023-02-01,Renuncia Voluntaria,4,Indefinido,1
ATT000390,EMP00143,BOG,Supervisor Operaciones,Tierra,2022-08-08,Renuncia Voluntaria,8,Indefinido,0
ATT000391,EMP00726,LIM,Tripulante Cabina Senior,Cabina,2022-11-15,Jubilacion,7,Part-time,0
ATT000392,EMP01995,SCL,Tripulante Cabina Senior,Cabina,2023-07-24,Renuncia Voluntaria,12,Indefinido,1
ATT000393,EMP00091,LIM,Piloto Comandante,Cockpit,2022-01-12,Termino Contrato,2,Plazo Fijo,1
ATT000394,EMP00697,BOG,Agente Check-in,Tierra,2023-05-13,Renuncia Voluntaria,11,Honorarios,1
ATT000395,EMP01383,BOG,Agente Check-in,Tierra,2022-07-14,Jubilacion,4,Indefinido,1
ATT000396,EMP00294,GRU,Piloto Comandante,Cockpit,2023-05-10,Renuncia Voluntaria,15,Part-time,1
ATT000397,EMP01428,SCL,Administrativo,Admin,2022-01-26,Traslado Base,0,Indefinido,1
ATT000398,EMP00005,MIA,Ground Staff,Tierra,2022-04-16,Termino Contrato,12,Indefinido,1
ATT000399,EMP00363,SCL,Administrativo,Admin,2022-01-26,Jubilacion,9,Indefinido,0
ATT000400,EMP01042,SCL,Ground Staff,Tierra,2023-06-22,Renuncia Voluntaria,13,Indefinido,
ATT000401,EMP00242,SCL,Supervisor Operaciones,Tierra,2024-07-29,Despido,0,Indefinido,1
ATT000402,EMP01496,SCL,Tripulante Cabina Senior,Cabina,2024-09-29,Despido,7,Indefinido,1
ATT000403,EMP00189,SCL,Agente Check-in,Tierra,2022-09-13,Termino Contrato,11,Indefinido,1
ATT000404,EMP01652,LIM,Seguridad,Tierra,2022-05-17,Despido,11,Plazo Fijo,0
ATT000405,EMP01594,BOG,Ground Staff,Tierra,2022-09-06,Termino Contrato,0,Indefinido,1
ATT000406,EMP00121,GRU,Ground Staff,Tierra,2023-07-26,Despido,11,Plazo Fijo,1
ATT000407,EMP01754,BOG,Tripulante Cabina Senior,Cabina,2024-12-31,Renuncia Voluntaria,9,Part-time,1
ATT000408,EMP00857,BOG,Tripulante Cabina,Cabina,2022-03-30,Renuncia Voluntaria,13,Indefinido,0
ATT000409,EMP01989,GRU,Ground Staff,Tierra,2023-02-01,Termino Contrato,5,Plazo Fijo,1
ATT000410,EMP01912,GRU,Tripulante Cabina,Cabina,2022-04-21,Traslado Base,11,Indefinido,1
ATT000411,EMP01562,BOG,Tripulante Cabina,Cabina,2022-04-01,Termino Contrato,1,Indefinido,1
ATT000412,EMP00700,MAD,Ground Staff,Tierra,2022-09-01,Termino Contrato,7,Part-time,1
ATT000413,EMP00456,LIM,Ground Staff,Tierra,2023-12-23,Renuncia Voluntaria,5,Plazo Fijo,1
ATT000414,EMP01859,SCL,Tripulante Cabina,Cabina,2022-07-31,Jubilacion,9,Indefinido,0
ATT000415,EMP01055,LIM,Administrativo,Admin,2024-06-11,Renuncia Voluntaria,2,Indefinido,0
ATT000416,EMP00383,JFK,Tripulante Cabina,Cabina,2024-08-09,Renuncia Voluntaria,12,Indefinido,1
ATT000417,EMP02000,LIM,Ground Staff,Tierra,2023-12-01,Renuncia Voluntaria,6,Indefinido,1
ATT000418,EMP00740,SCL,Piloto Comandante,Cockpit,2022-01-02,Traslado Base,2,Indefinido,0
ATT000419,EMP00441,MIA,Tripulante Cabina,Cabina,2023-02-03,Renuncia Voluntaria,14,Indefinido,1
ATT000420,EMP00925,GRU,Tripulante Cabina Senior,Cabina,2022-03-10,Termino Contrato,3,Plazo Fijo,1
ATT000421,EMP01126,SCL,Tecnico Mantencion,Tierra,2022-07-07,Renuncia Voluntaria,9,Indefinido,0
ATT000422,EMP01699,EZE,Administrativo,Admin,2022-06-02,Termino Contrato,2,Part-time,0
ATT000423,EMP01818,SCL,Ground Staff,Tierra,2024-04-28,Termino Contrato,2,Indefinido,1
ATT000424,EMP00157,LIM,Agente Check-in,Tierra,2024-01-24,Renuncia Voluntaria,12,Indefinido,0
ATT000425,EMP01699,JFK,Supervisor Operaciones,Tierra,2022-03-09,Renuncia Voluntaria,10,Part-time,1
ATT000426,EMP00271,MIA,Ground Staff,Tierra,2022-12-11,Despido,5,Plazo Fijo,1
ATT000427,EMP01469,BOG,Agente Check-in,Tierra,2024-06-26,Renuncia Voluntaria,13,Indefinido,1
ATT000428,EMP00879,SCL,Administrativo,Admin,2024-05-30,Jubilacion,14,Indefinido,1
ATT000429,EMP01798,JFK,Piloto Copiloto,Cockpit,2024-04-30,Termino Contrato,3,Plazo Fijo,
ATT000430,EMP01580,SCL,Piloto Copiloto,Cockpit,2022-07-02,Renuncia Voluntaria,12,Part-time,0
ATT000431,EMP01048,LIM,Supervisor Operaciones,Tierra,2023-07-29,Termino Contrato,8,Plazo Fijo,1
ATT000432,EMP01525,JFK,Ground Staff,Tierra,2022-11-18,Termino Contrato,7,Indefinido,0
ATT000433,EMP01524,LIM,Supervisor Operaciones,Tierra,2024-01-28,Termino Contrato,6,Indefinido,0
ATT000434,EMP00730,GRU,Ground Staff,Tierra,2022-11-07,Termino Contrato,3,Indefinido,1
ATT000435,EMP01411,BOG,Piloto Copiloto,Cockpit,2024-06-12,Termino Contrato,2,Indefinido,1
ATT000436,EMP00135,SCL,Tripulante Cabina,Cabina,2023-01-20,Renuncia Voluntaria,3,Part-time,1
ATT000437,EMP00473,BOG,Supervisor Operaciones,Tierra,2023-07-31,Jubilacion,6,Indefinido,0
ATT000438,EMP01852,GRU,Tecnico Mantencion,Tierra,2024-09-01,Despido,8,Plazo Fijo,0
ATT000439,EMP00367,BOG,Piloto Comandante,Cockpit,2024-08-05,Termino Contrato,8,Indefinido,1
ATT000440,EMP00783,GRU,Agente Check-in,Tierra,2022-01-14,Termino Contrato,13,Indefinido,0
ATT000441,EMP00759,BOG,Tripulante Cabina Senior,Cabina,2023-09-22,Termino Contrato,5,Indefinido,0
ATT000442,EMP01555,SCL,Ground Staff,Tierra,2023-02-13,Renuncia Voluntaria,0,Indefinido,0
ATT000443,EMP00391,BOG,Tripulante Cabina Senior,Cabina,2023-01-11,Despido,,Indefinido,1
ATT000444,EMP01088,BOG,Tripulante Cabina,Cabina,2022-12-19,Renuncia Voluntaria,13,Indefinido,0
ATT000445,EMP01279,MIA,Ground Staff,Tierra,2023-07-08,Renuncia Voluntaria,12,Indefinido,1
ATT000446,EMP01903,LIM,Piloto Copiloto,Cockpit,2024-01-16,Jubilacion,1,Indefinido,1
ATT000447,EMP01201,LIM,Piloto Copiloto,Cockpit,2023-08-14,Despido,15,Indefinido,
ATT000448,EMP01409,LIM,Supervisor Operaciones,Tierra,2023-01-19,Termino Contrato,7,Indefinido,1
ATT000449,EMP00621,BOG,Administrativo,Admin,2023-07-01,Termino Contrato,9,Indefinido,1
ATT000450,EMP00538,MIA,Piloto Copiloto,Cockpit,2024-03-24,Renuncia Voluntaria,14,Indefinido,1
ATT000451,EMP00925,MIA,Ground Staff,Tierra,2022-08-29,Traslado Base,11,Indefinido,1
ATT000452,EMP01561,GRU,Ground Staff,Tierra,2024-06-11,Termino Contrato,11,Honorarios,1
ATT000453,EMP00955,SCL,Administrativo,Admin,2023-02-09,Renuncia Voluntaria,2,Indefinido,1
ATT000454,EMP00427,SCL,Tripulante Cabina Senior,Cabina,2023-03-31,Traslado Base,11,Part-time,1
ATT000455,EMP00890,JFK,Ground Staff,Tierra,2022-01-12,Renuncia Voluntaria,14,Indefinido,0
ATT000456,EMP00211,EZE,Piloto Comandante,Cockpit,2022-02-25,Renuncia Voluntaria,15,Plazo Fijo,1
ATT000457,EMP00038,MIA,Agente Check-in,Tierra,2024-11-26,Termino Contrato,11,Plazo Fijo,1
ATT000458,EMP00125,BOG,Ground Staff,Tierra,2022-11-19,Jubilacion,3,Part-time,0
ATT000459,EMP00070,BOG,Ground Staff,Tierra,2024-07-30,Renuncia Voluntaria,11,Indefinido,1
ATT000460,EMP00362,LIM,Agente Check-in,Tierra,2024-01-20,Termino Contrato,10,Part-time,1
ATT000461,EMP00625,GRU,Supervisor Operaciones,Tierra,2023-01-28,Jubilacion,14,Part-time,1
ATT000462,EMP01285,SCL,Agente Check-in,Tierra,2022-07-25,Despido,13,Indefinido,1
ATT000463,EMP01361,MIA,Piloto Copiloto,Cockpit,2024-01-28,Jubilacion,6,Plazo Fijo,0
ATT000464,EMP01961,MAD,Supervisor Operaciones,Tierra,2023-01-10,Renuncia Voluntaria,1,Plazo Fijo,0
ATT000465,EMP01013,SCL,Piloto Copiloto,Cockpit,2024-03-09,Jubilacion,3,Indefinido,1
ATT000466,EMP01601,LIM,Ground Staff,Tierra,2022-02-18,Jubilacion,8,Honorarios,
ATT000467,EMP00736,BOG,Piloto Copiloto,Cockpit,2023-06-05,Jubilacion,15,Indefinido,1
ATT000468,EMP00462,GRU,Supervisor Operaciones,Tierra,2022-02-07,Renuncia Voluntaria,1,Indefinido,1
ATT000469,EMP00074,SCL,Supervisor Operaciones,Tierra,2023-06-03,Renuncia Voluntaria,11,Indefinido,1
ATT000470,EMP01291,BOG,Agente Check-in,Tierra,2024-09-02,Jubilacion,13,Part-time,1
ATT000471,EMP00004,MIA,Ground Staff,Tierra,2023-08-11,Traslado Base,6,Indefinido,0
ATT000472,EMP00963,LIM,Agente Check-in,Tierra,2022-01-20,Renuncia Voluntaria,3,Indefinido,0
ATT000473,EMP01718,SCL,Supervisor Operaciones,Tierra,2022-01-23,Jubilacion,4,Honorarios,0
ATT000474,EMP00943,GRU,Administrativo,Admin,2023-01-27,Renuncia Voluntaria,3,Indefinido,1
ATT000475,EMP00028,GRU,Tecnico Mantencion,Tierra,2024-01-09,Renuncia Voluntaria,13,Indefinido,0
ATT000476,EMP01558,EZE,Tripulante Cabina,Cabina,2023-07-22,Traslado Base,9,Indefinido,0
ATT000477,EMP00449,LIM,Piloto Comandante,Cockpit,2022-12-06,Jubilacion,4,Indefinido,
ATT000478,EMP00844,GRU,Tripulante Cabina Senior,Cabina,2023-07-20,Termino Contrato,4,Plazo Fijo,
ATT000479,EMP01339,SCL,Agente Check-in,Tierra,2022-12-30,Termino Contrato,6,Indefinido,0
ATT000480,EMP00113,EZE,Tripulante Cabina Senior,Cabina,2023-08-30,Renuncia Voluntaria,2,Indefinido,1
ATT000481,EMP00561,GRU,Piloto Comandante,Cockpit,2023-06-23,Renuncia Voluntaria,14,Honorarios,1
ATT000482,EMP01807,MIA,Tripulante Cabina,Cabina,2023-11-12,Despido,5,Part-time,1
ATT000483,EMP01682,MIA,Piloto Copiloto,Cockpit,2023-07-06,Termino Contrato,14,Indefinido,0
ATT000484,EMP00032,GRU,Piloto Comandante,Cockpit,2024-11-21,Renuncia Voluntaria,13,Indefinido,
ATT000485,EMP00987,LIM,Piloto Comandante,Cockpit,2022-03-13,Termino Contrato,8,Indefinido,1
ATT000486,EMP00038,GRU,Tripulante Cabina Senior,Cabina,2022-01-20,Renuncia Voluntaria,14,Plazo Fijo,1
ATT000487,EMP00504,JFK,Piloto Copiloto,Cockpit,2024-07-01,Jubilacion,5,Indefinido,1
ATT000488,EMP01848,LIM,Piloto Copiloto,Cockpit,2023-07-03,Renuncia Voluntaria,4,Indefinido,0
ATT000489,EMP01427,LIM,Tecnico Mantencion,Tierra,2022-02-07,Termino Contrato,14,Indefinido,0
